ig_review	sentiment
Nollywood nọ n’ogo kacha elu!!!...Ihe nkiri a na-akọ akụkọ gbasara omenala, idi n’otu, na ezinaulọ. Ọtụtụ ihe nkuzi juputara na ya nke m enweghiwu ike ị gụsasị	positive
Ihe nkiri dị mma nwere amamihe. Ọ bụ ihe nkiri dị mma na-egosi ọghọm so n'ikpaoke agbụrụ na Naịjịrịa na etu osi emetụta ịhụnaya ka na-eto eto	positive
ihe nkiri a bụ onyinye dị mma na ụdị ya. 	positive
Ahụrụ m ihe nkiri a n’anya…Ọtụrụ m anya ịhụ na e nyere ederede ọjọọ gbasara ihe nkiri a. Anyị amakwa ihe bụ ezigbo ihe nkiri? Ihe nkiri a amaka, na-atọ ụtọ. Agwa tolitere nke ọma, dị ire ma bụrụ kwa ihe metụtara anyị.Ọzọkwa, ogo ya amaka. Jisienụ ike. Ahụrụ m ya n’anya karịa wedding party 1 na 2. Ọ harịpụghị m ma ọlị.	positive
Ahụrụ m ya mgbe ewepụtara ya izizi tupu ọ gasaa ebe niile na Huston Texas… Ihe nkiri a kwesịrị ị nata akara ugo ndị Oscar. Akụkọ ya amaka. Agwa niile nọ na ya dị ịtụnanya.	positive
Onye ọbụla hụrụ nka n’anya, hugoro agba nke mbụ ihe nkiri a ga-ama na akụkọ ya gbakwasara ụkwụ na nke mbụ, nke a bụ nke na-esote ya	positive
Mmepụta ya amaka	positive
Ihe nkiri na-akọwa maka ihe.. ke a bụ ihe nkiri dị mma ma pụọ iche. Ụfọdụ nwereike ha agaghị ahụ ya n’anya n’ihi na ha na-ahukarị ihe nkiri ịhụnanya mọọbụkwanụ maka na ha hụrụ ndụ ụgbọala n’anya. Ihe nkiri a gosiputara etu ndụ dị n’ife na ndụ ndị mekanịk, ndị na-amụ ọrụ, na ndị na-azụ ahịa. Ọ na-akuziri ndị nne na nna na ụmụaka ezigbo ihe. Ọ bụ ezigbo ihe nkiri na-akọwa ihe.	positive
Akọwapụtachaghị ya etu o si dị, o gosipụtara ejije omekome nke nwere ntọala tọrọ ụtọ. Nke a bụ ihe nkiri juputere n’uru. O nweghi ebe emetaghị	positive
Akụkọ na-esorita onwe ya nke ọma na ya bụ ihe nkiri.. Ndị dere ya na ndị nyere ntuziaka nwere amamihe na nka. Daalụ rinne maka ihe nkiri a..	positive
Ọ tọrọ m ụtọ ịhụ ebe nilie mara mma dị na Legọọsị. Egosipụtara ma ala ọkpọrọ na ala mmiri gbara okirikiri, ọ dịghị ka ihe nkiri ndị ọzo na-anọ n’otu ebe emepụta. Legọọsị bụ ebe dị mma imepụta ihe nkiri ma ọ bụrụ na e jiri ebe dị icheiche na ya kwara ngwa. Dịka anyị si hụ n’ebe a, ngosiputa ebe enwere ihe mberede okporoụzọ na-esiri ndị Nollywood ike. Ọ tụrụ m anya ịhụ na nke emere n’ihe nkiri a dị ire	positive
Ihe nkiri Citation.. Ihe nkiri zuruoke. Ahụrụ ihe niile emepụtara na ya n’anya. Ọ dị m ka ya agwụna agwụ	positive
Ihe nkiri izizi nke Akinnuoye-Agbaje nyere ntuziaka na ya bụ akukọ mere eme metụtara ndụ Akinnuoye-Agbaje. Dịka nwa si Naịjịrịa ezipuru UK mgbe enwere ịkpaoke agbụrụ mgbe ọgbọ nke Widrush bịarutere. Etu ihe nkiri a si dị na mbido gosiripụtara agwa nọ n’ihe nkiri a dịka nke dị ire nke mmadụ pụrụ ichefu na ọ bụ ihe ka ọ na-elere cheezie na ọ ihe na-eme na ndụ. E gosiri nke a site n’ụzọ dịgasị iche iche na ya. Akụkọ ya jupụtara na akụkọ dị ezigbo mkpa na ọnodụ ihe mmerụahụ dị ukwuu. Mgbe ụfọdụ ihe ndị a siri ike ngosipụta na ya bụ ihe nkiri. Agwa ndị na-agwado ndi isiagwa dị ire mana agaghị atụnyere ha na isiagwa. Ịga n’ihu, ihe nkiri a lekwasara anya na naanị ndụkụrịta ime mmụọ nke isiagwa. N’gbanyeghi nke a, isiagwa ihe nkiri a dọrọ mmasị ndị nkiri. Mkpokọta ihe niile, ‘Farming’ bụ ihe nkiri ewepụtara izizi na-akọwa maka nsogbu so ịchọpụta onwe na ịkpọasị onwe nke e nwere ọtụtụ ihe ekwughi maka ya ma gosipụta ihe ilu, mgbọwaobi, nke otu onye na-ata ahụhụ ịchọpụta onye ọ bụ. Enwere ọtụtụ ihe ihe nkiri a na-egosipụta nke a na-eleghara anya ugbua mere na Britain. Uru ihe nkiri a bara karịrị nkeji narị na asaa egosipụtara ya	positive
Ihe nkiri dị mma ekwesịrị ikiri	positive
Ihe nkiri dị mma… Ahụrụ m ya n’anya. Agwa nile dị na ya di ukwuu. Ọ tọrọ ụtọ ikiri. Olilanya m bụ ka enwe mmepụta agba ndị ọzọ	positive
Ị mepụta akụkọ ederede Darci Picoult, Dosunmu wepụtara ihe nkiri di ire, nwere egwu na ejiije na omenala (anyị gburu oge na-elele ọ marịcha akwa Guirra na ọmarịcha ihu ya. Nke abụghị adịgboroja.	positive
Ihe nkiri dị egwu!	positive
Enweghi okwu tozuruoke iji kọwapụta mma ihe nkiri a nakwa etu o si chetara anyị na anyị bụ ndị ihu ọma kpọrọ n’ihi na anyi ezuteghi agha. Akụkọ gbasara ọdachị dị egwu, agụgụala Naijiria ugbua na ndụ mmadụ dị n’ime ya.	positive
Ọ maka	positive
Ihe nkiri gosipụtara maka ndị Igbo…Lionheart gosiputara ihe mmadụ ịbụ onye Igbo pụtara-- ịgba mbọ na mbikọrịta ọnụ	positive
Enwere ọtụtụ amaghị eme juru n’ihe nkiri a. Ụfọdụ n’ime ha enweghi uru ọ bara mana nke ahụ emeghi ka ihe nkiri a ghara ịtọ m ụtọ. Enwereike, agaghị m elere ya ọzọ. Otu ugboro a m lere ya dị mma	positive
N’agbanyeghi na isiokwu dị na ya metụtara ịkpaoke metụta otu agbụrụ, onye mepụtara ihe nkiri a agbasoghi usoro ihe ngosi Nollywood ana ahụkarị na sịnịma. O ṅomighi. Igwe nsere onyonyo ya na-agagharị, ụfọdụ mgbe ọ na-akwụ otu ebe, nke nyere ndị mepụtara ihe nkiri a ohere igosiputa agwa ha nke ọma dịka ya bụ ihe nkiri na-aga iji mata ntachi obi ha	positive
Ihe na-atọ ọchị, Ihe na-atọ ọchị, Ihe na-atọ ọchị. . Nna ee, ihe nkiri a juputara n’ọchị. Ọ bụrụ na ị na-achọ ihe nkiri ga-akpali gị mmụọ, nke a bụ ihe nkiri ahụ ga-enye gị ihe ị chọrọ	positive
Ihe nkiri dị ukwuu!!. . Nke a bụ ihe nkiri kacha mma e mepụtara na Naịjịrịa, o juputakwara n’ọchị.	positive
ỌMALỊCHA ỤMỤNWAANYỊ AFRỊKA	positive
Amaghị m ebe ndị nyere ihe nkiri a akara ala si weta echiche ha mana kwenye ihe m kwuru, ihe nkiri a bụ ihe m leregoro kamgbe ọtụtụ oge. O nweghi ntụpọ, ọ maka, ma kaa Bollywood mma	positive
Ngosipụta ihe esereese dị na ihe nkiri a dị mma, onye nyere ntuziaka ya mere ya nke ọma.	positive
Mmepụta pụrụ iche….. Agwa Temi Otedola na-aba anya. Ngosipụta ihe nkiri a tọrọ m ụtọ nakwa etu esi wepụta ozi nke ọbụla na ya.	positive
Nzọụkwụ dị ukwuu n’ịmalite iji aka anyị kọwa akụkọ anyị… Ihe nkiri a na-egosipụta ahụhụ ndị anyị leghara anya n’obodo na-ata. Ọ na-adịri anyị mfe ịkpe mmadụ ikpe, mana mgbe akọrọ ụdị akụkọ a, ọ ga-eme ka ịmalite ile mmadụ ọbụla anya n’ụzọ. Ngwụcha ya dọrọ oke mmasị ma juputa n’obinkonelu nke ga-eme ka ị chịgharịwa uche maka ịhe ị hụrụ	positive
Onweghi ntụpọ!!! 🔥🔥🔥. . Nke a bụ ihe nkiri Afrịka nke afọ a. Awa abụọ na nkeji atọ ihe nkiri a tọrọ m ụtọ 😀👏👏👏🔥🔥🔥🔥🔥🔥✔✌	positive
Akụkọ anaghị ahụ mgbe niile gbasara uru ezinụlọ bara site n’isi ụzọ ọzọ legara ya anya Atapịara ya nke ọma	positive
N’ikpeazụ, ihe nkiri si Naịjịrịa. Kamgbe ọtụtụ afọ ka m na-atụ anya ka Naịjịrịa mepụta ihe nkiri dị egwu. Esiri Brothers bụ ụdị ihe nkiri ahụ m na-atụ anya.	positive
Eziokwu e ji amamihe mepụta ihe nkiri a nke ọma. Ekele dịrị ndị agwa nọ na ya maka ezi ngosipụta agwa ha	positive
O siri ike nkeji ise ị ga n’ihe nkiri a ka ị ghara ịhụ ihe ga-atọ gị ọchị. Echeghi m na enwere ihe nkiri Naịjịrịa kacha udị ihe nkiri a (n’ihe nkiri ntọ ọchị arọrọ arọ). Mmetụta ihe nkiri ahụ dịkwa mma nke ọma.	positive
Ihe nkiri ịhụnanya na-atọ ọchị nke Nollywood.. Ihe nkiri a nwere ikikere ime ka ị chịa ọchị ma inwe ụbọchị ọjọọ.	positive
Ihe nkiri metụtara obodo abụọ dị mma…. Naanị ihe m ahụghị n’anya na ya bụ na egosighi Obodo Naịjịrịa na Indịa na ya. Ihe nkiri ịhụnanya mara mma.	positive
Ihe nkiri a malitere site n’ịkpụ akpụ. Akụkọ dị mma.	positive
King of Boys....Ihe nkiri a amaka, malite n’akụkọ ya ruo na ndị mepụtara ya, akwa ha yi na mmetụtaobi e gosipụtara. Ana m eme nganga ịbụ onye Naịjiịrịa ugbua. Jisie ike Kemi Adetiba, jisie ike Sola Sobowale!	positive
Ihe nkiri onye ọbụla kwesịrị ịhụ.... Namaste wahala bụ ihe nkiri eji nka gosipụta nke na-egosi mmekọrịta dị n’etiti omenala abụọ. Njikọ Nollywood na Bollywood bụ ihe niile dị mma n’ihe nkiri ịhụnanya. Ndị niile bụ ndị Indịa nọ na ya gosiri agwa ha nke ọma.	positive
Ọ dị ire, na-atọ ụtọ. Na nchịkọta ọ dị mma. M ga-elerewu ya kwa ụbọchị niile. Ọ dị m ka sị bụrụ na a na-egosi ya karịa otu ugboro n’izu. ewepụ nke ahụ, ọ dị mma. Ụfọdụ ihe nkiri dị ire na-apụta dịka ihe emere eme, mana ọbụghị nke a.	positive
N’ịgbaso usoro Nollywood, aga m enye ihe nkiri a akara itoolu n’ihi akụkọ ya pụrụ iche na ezi mmepụta ya nke mere ka ọghara ị dịka ihe nkiri Naịjịrịa.	positive
Akụkọ dị mma… Ọ bụ ihe nkiri dị mma nwere ọmalịcha akọmakọ. Ahụrụ m ya n’anya.	positive
Okwu kọrọ m.... Ihe nkiri a wụrụ m akpataoyi. Ọ dọrọ mmasị m ma dọrie obi m. N’ezie, e gosipụtara Chukwu etu okwesịrị. Chukwu gọzie onye dere ya, ndị mepụtara ya na ndị niile so na ya. Ndị agwa nọ na ya dị elu. Ha rụrụ ọrụ ha nke ọma	positive
Mmekọ dị n’etiti Maazị Tayo (Bimbo Manuel) na Ejiro (RMD) tọrọ m ụtọ,	positive
Otu ihe m hụrụ n’anya n’ihe nkiri a bụ etu akụkọ ya si dị na etu ndị agwa nọ na ya si gosipụta ya. E kwesịrị ịkụrụ ndị dere ya, ndị nyere ntuziaka ya na ndị mere ihe osise ya aka maka mbọ ha gbara.	positive
Ihe nkiri ụka kacha mma!!!… Ahụrụ m ihe nkiri a n’anya! Emere ya nke ọma. Mmepụta ya dị mma akụkọ ya na-eju afọ. Ndi niile tinyere aka na ya ụnụ awaka. Ihe nkiri ekwesịrị ikiri!....MATA NA. Ị ga-achọ ihe ị ji eficha anya mmiri	positive
Ahụrụ m ya n’anya….Ahụrụ m ihe nkiri a n’anya, agwa nọ na ya, onye nyere ntuziaka wdg. Onya ọbụla mere ka ọ dị iche site n’emereme ya. Onye ọbụla hụrụ ya ka ihe nkiri adịghị mma amaghị ihe nkiri dị mma, onwekwara ike ọ bụru na ọmaghị omenala anyị.	positive
Ọ maka …Ihe nkiri a mara mma tinyere agwa nọ na ya. Ọ na-atọ m ụtọ ịhụ Bịsọla n’ihe nkiri. Ọ dị mma.	positive
Mmepụta dị mma, ntuziaka dị mma, akụkọ ya adịchaghị ukwuu. E mepere akantụ naanị ide maka ihe nkiri a. Ọ bụ ọrụ nka mara mma.	positive
Ọ na-adọrọ mmasị… Ihe nkiri a tọrọ m ụtọ. Mmepụta ya na akukọ ya mara mma. Ahụtara m ya dịka ihe dị mma iche maka ndụ Ishi- nke a n’ezie bụ ihe mmepe anya nye onye ọbụla amanyere n’alụmdi	positive
Gabriel Afolayan bụ onye na-eme ihe nkiri pụrụ iche; ọ na-aghọta ọrụ ya mgbe niile	positive
Ọ dịghị njọ dịka esi dee maka ya	positive
Ihe nkiri na emereme dị ukwuu…. Ejikọtara akụkọ dị ukwuu, emereme na ihe ntọ ọchị dị ukwuu ọnụ na ya. Ihe nkiri na-akpalị mmụọ na ndị omee dị egwu	positive
Ihe nkiri dị mma amara mee mana o gosiputaghị dịka esi chọọ na ihe nkiri ntọ ọchị nke ọma, ọ manyere na mmepụta agụgụala	positive
Ọ maka… Mgbe izizi m hurụ ya, o juru m anya. Achọghị m ikwu ka onye isi adịghị mma mana ana m amụ gbasara ihe ụwa a. Ana m atụ anya mmeputa ya nke abụọ agwa dịbu na nke mbụ nọ na ya nakwa akụko miriemi.	positive
Ọ maka, ọ bụrụ na mbụ, a pụrụ m ịgafe ihe nkiri a, mana eziokwu bụ na ọ bụ ezigbo akụkọ, site na ya ka ị ga-ahụ na emefughi ọtụtụ ego na mmepụta ya mana ntuziaka ya na emereme ya amaka! Ngosipụta ebe a na-alụ ọgụ adịchaghị ukwuu. Ọ dị mma nkiri.	positive
Akụkọ na-adọrọ mmasị gbasara ezinaụlọ na agha. Akwadoro m ihe nkiri a n’enweghi echiche abụọ.	positive
Wow.. Ihe nkiri a mere ka m hapụ onye mụ na ya nọbụ na-achọ onye ka mma. Ihe nkiri dị ukwuu. Ọ na-aga nwayọọ nwayọọ mgbe o bidoro mana elere m ya ruo na ngwụcha. Ngaghachi azụ n’akụkọ ya mere ka ngwụcha ihe nkiri a kpụrụ ọkụ n’ọnụ n’ihe na ihe niile mechara chịkọta ọnụ.	positive
Ọ bụrụ na mmadụ anwaghị ịma ka ihe dị, onye ahụ agaghị amụta. Ihe nkiri a rụtụrụaka na nsogbu kacha ụmụnwoke ojii na-enwe nke bụ nchọpụta onwe.	positive
Site na mkpughe, Eyimofe (nke ntụgharị ya pụtara “Nke a bụ Mmasị m) gosipụtara mmadụ inwe ntachị obi ịpụta na nsogbu, ma mee ka Arie na Chuko bụrụ ndị ọhụrụ n’imepụta ihe nkiri.	positive
Nke abụ akụkọ dị mma sitere n’aka onye anyị mara bụ ezigbo ọkọ akụkọ. Gold Statue nwereike ọ bụghị ihe nkiri Tade Ogidan kara mepụta nke ọma mana ọ natara ogo dị elu.	positive
Ihe nkiri dị mma. Akukọ dị ukwuu. Ọ dị mma nkiri. Ana m akwado ya	positive
Nke a tọrọ ụtọ nkiri. …The Delivery Boy na-enye obi aṅụrị. Akụkọ mara mma akọrọ nke ọma. Ị kwesịrị ilee ya!	positive
Ọ kwesịrị inwe mmepụta ise!!!... Ihe nkiri a na-adọrọ mmasị na-emekwa obi ụtọ. Ọ bụrụ na ndị ụka alakụba hụtara nsogbu na ya, gbanwee mọọbụ debiri aha ya. Biko, ihe nkiri amara mee ka ọ bụ!!! Edere akụkọ ya nke ọma!!! Ihe ngosi ya amaka. :)	positive
Ihe nkiri dị egwu…Aghọtaghị m ihe mere eji ghara inye ya ederede nkwado etu ọ kwesịrị n’ihi na ọ bụ ihe nkiri pụrụ iche. Mmepụta ya niile dị mma nke a mere ka m lere ha nilie dịka nwa akwụkwọ dọkịta. Ihe nkiri a dị egwu. Eweriri m onye mepụtara ya na ndị agwa nọ na ya aka elu.	positive
Emepụtara ya nke ọma. Ọ bụ ife nye ihe a na-emepụtabu na sịnịma Afrịka. Ihe nkiri a bụ ezi nzọụkwụ na-aga etu okwesịrị dịka o si metụta sinịma Afrịka	positive
Ihe nkiri na-atọ ahaziri nke ọma nwere egwu jazi, popi, na okestra.	positive
Ihe nkiri a bụ return of the King nwere ebube.	positive
Ọrụ dị ukwuu	positive
Eji ezi nka dee ya, akụkọ onwe mere eme emepụtara nke ọma	positive
Ọ ka so na ihe nkiri kacha mma n'afọ 2017. Isoken bụ ihe nkiri dị ukwuu na-egosipụta omenala obodo. Nhazi, eserese, ụcha,na-egosi ọtụtụ omenala nke ọma. Ihe nkiri a nwere ebe ntọ ọchị na emereme dị mma na ya.	positive
Ọ dị mma nkiri….Ihe nkiri dị egwu! Ọ tọrọ m ụtọ na ha kwadoro asụsụ Igbo na ya!	positive
"Igwefoto eji agbasọ isere mmetụtaobi, nhazi na-adọrọ mmụọ na akụkọ dịka nke ama ama akọrọ n’ụzọ ọzọ. Nke a mere ka “""Òlòtūré” bụrụ ihe nkiri ị ga-anabata."	positive
Ị kwesịrị ilere ihe a!!!!!...Ihe kwesịrị ka elere!!! Ahụrụ m agwa nọ na ya n’anya. Nhazi akukọ ya zuruoke	positive
ihe nkiri tọrọ ụtọ	positive
Ahụru m gị n’anya…E nwere m nwa	positive
Ihe nkiri nke Kemi Adetiba amara mee, e dere akụkọ ya nke ọma, ezigbo ihe eserese. Agwa niile nọ na ya mere nke ọma. Nke a bụ ihe nkiri toro ugo dị ukwu... Ndị niile tinyere aka mepụta ya, unu emeka.	positive
Ihe nkiri dị ike nke ihe omume echefuru kpamkpam n’ akukọ mere eme. Ọ bụghị nke ndị ume na-ekorapụ	positive
Ihe nkiri dị ukwuu - na-enye obi ụtọ na-akuzikwa nkuzi	positive
ihe nkiri dị ike nwere ihe ntọ ọchị na ya, udị a na-amasị m	positive
Wow, nke a bụ akụkọ mere eme! Wow! Ọ maka.... Ọ bụ akụkọ gbasara ndị isi ojii bi mba ụwa dị iche iche n’Afrịka. Obi dị m ụtọ na nwanne anyị nwoke mere ka amara maka akụkọ ya, dee ya nye ntuziaka ya ma soro n’agwa nọ na ya. Wow, ngosipụta agwa Damson na-adịkarị mma.	positive
Ọ dị mma. Ọ tọrọ ụtọ etu ha si gosipụta omenala abụọ ahụ. Ọ tọrọ m ụtọ mgbe niile m na-elere ya. Ihe nkiri achapụrụ anya mee.	positive
Ihe nkiri amara mee.... Ihe nkiri a bụ ihe magburu onwe ya gbasara ụmụakwụkwọ nwaanyị na mahadum ndị nkuzi nwoke na-awakpo na mmekọahụ. O zipuru ozi ya n’ụzọ dị mfe ịgaghị eche ihe ọzọ gbasara ya. ụfọdụ ebe emetaghị apụrụ ịgbaghara	positive
Ọ maka …. Ahụrụ m etu e si jiri egwu gosipụta omenala. Ọ tọrọ m ụtọ ịhụ ndị na-eme ka m kirie Nollywood ọzọ. O juputara n’ọchị na ụtọ	positive
Ihe nkiri si Naịjịrịa mara mma….Ahụrụ m ihe nkiri a n’anya. Ngosipụta agwa nọ na ya dị ukwuu. Onye ọbụla n’ime ha wepụtara onwe ya nke ọma ma mee ya bụ ihe nkiri. Njakịrị amara na ya bụ ụdị anyị na-ahụ na ndụ. Ọ kuzikwara ihe.	positive
Emetara ya …. Asụsụ ya bụ asụsụ Obodo, ndi mere ya mere ya nke ọma, mmepụta ya amaka, ndezi ya dị ukwuu. Nke kacha mma bụ na o wepụtara ma mee ka ahụkee Ajegunle nke ọma	positive
Ọrịa ọjọọ ọhụrụ nwere ike ime ọzọ!…..Ọ bụ ihe nkiri mara mma akọwara etu ihe si mee n’ezie. Ọ ka ihe nkiri akpọrọ Contagion n’akwụkwọ m mma. Akụkọ ya mere ka m cheta ụlọ. Ọ bụ ọdachị izizi zutere m n’ụwa . Achọrọ m igote DVD. Otela mgbe m ji achọ ya na US ahụbeghi m ya. O nwere onye nwere ike ịgwa m etu m ga-esi gote ya? Daalụ.	positive
Kedụ etu ihe nkiri nwere ụdị isiokwu a siri kpụọ akpụ na-agwụ ike? Kedụ ihe ngwangwa na ya? Kedụ obinkonelu na ya? Ndezi ya mere ka ara gbaa m. Enweghi ihe kwesịrị ime ka ihe nkiri a ruo awa abụọ na ọkara. Nke a bụ ihere n’ihi na ọ na-arụtụ aka na ezigbo nsogbu. Ọkara ịka mma ma ọ bụrụ na o ziri ozi ya ghara ime ka ndị na-ekiri ya rahụ ụra.	positive
Lionheart bụ ihe nkiri mara mma 👏. . .. Ọ bụ ihe nkiri Nollywood m lere kacha mma. Nke ọbụla n’ime ya mara mma, tọtụ ọchị ma na-akuzikwa ihe. Ọ tọrọ m ụtọ na egosipụtara Naịjịrịa nke ọma	positive
Agba nke abụọ….. Ahụrụ m agba nke mbụ n’anya. Ana m eche agba nke abụọ. Ahụrụ m ndị agwa niile nọ na ya n’anya. Ana m atụ anya na a ga-enwe mmepụta ndị ọzọ.	positive
Ọ bụ ihe nkiri awa abụọ m gaghị akpọ ihe nkiri na-eme obi ụtọ kama ihe nkiri na-enye ike. Ọ bụrụ na obi na-alọ m mmiri, o mere ka obi sie m ike….Ihe nkiri a metụtara m n’ihi na aka Chukwu ezutego m mbụ….. Azakwara m okwu Chukwu ọzọ.	positive
Ihe nkiria gosiri n’ozuzuoke nwakpo mmekọahụ ụmụakwụkwọ nwaanyị nọ mahadum Naịjịrịa na Ọdịda Anyawụ Afrịka na-ahụ	positive
Ọ mara mma….Fifty zuru ka emee ọ mara mma, jupute na ndụ. Atụrụ anya na ọ ga-atọ ọchị na ngwụcha mana akpata oyi anwụghịkebe m. Mana obi tọrọ m ụtọ icheta ụfọdụ ihe emere na ya bụ ihe nkuzi n’ikpeazụ.	positive
Nke a bụ ihe nkiri si n’aka Kunle Afo kacha ba uru …. Ihe nkiri a rụtụrụ aka n’isiokwu kacha mkpa n’agụmaakwụkwọ Naịjịrịa.. Akukọ ya mara mma, ọ dọrọ mmasị, emereme ya dị mma. Ihe nkiri a bụ ihe nkiri kacha mma ị ga-elere gbasara nwakpo mmekọahụ na mahadum . Hụ ya n’anya. Enwela obi abụọ. Ọ dị mma	positive
Ihe nkiri mara mma….Aka m lerepụrụ Lara na Beat na Netflix. Ihe nkiri a amaka. Ihe ngosi ya mara mma, emereme ya amaka, akụkọ dị ukwuu, egwu mara mma, ihe nkiri zuruoke ezinaụlọ ga-ele maa nwee obi ụtọ.	positive
Ọ maka…Ahụrụ m ihe niile gbasara ya n’anya. Omenala ya, asụsụ ya na egwu ya amaka .	positive
Ihe nkiri na-enye anyị mmetụta 1980s, ruo ka e si hazie emume, omume idebiga ude ịji cha ọcha, uwe, na iji damask na adire emesapụ aka	positive
Ihe nkiri amara mee. Egosipụtara agwa nke ọma. Eji ihe ịma mma na nka chọọ ya bụ ihe nkiri mma. Akụkọ ya n’agbanyeghi na onweghi ihe pụrụ iche na ya dọrọ mmasị, ma mee ka ịmụta otu ihe mọọbụ abụọ n’isiokwu akụkọ ya.	positive
"Nwepụta agba nke abụọ biko!.... Elere m ""Fifty Series” ma lekwasa Castle & Castle maka na Tola nọ na ya. Ahụrụ m ihe nkiri a n’anya ma chọọ ka enwee agba nke abụọ ya. Ihe m kpọrọ asị na ya bụ na o nyere m obinkonelu na ngwụcha ya ka a ga-asị na a na-ewepụta agba nke abụọ ya.. N’ihi ya biko wepụta agba nke abụọ!!"	positive
Ihe nkiri egwu!...Ihe nkiri a juputara n’obi mmapụ, ihe nkiri ezinaụlọ nwere obi mgbawa na akụkọ amara dee nke ọma ya na ezi ngosipụta emereme.	positive
Ọ dị mfe na-atọ ụtọ! Ihe nkiri ntọ ọchị nwere ezigbo akụkọ. Bido na ụmụnne nwaanyị banye na onye iro, ihe nkiri ekwesịrị ikiri. Agaghị m echezọ arọmarọ dị na ya pụrụ iche. Akwadoro m ya nke ọma	positive
Ha mere ihe siri ike site n’ewepụta ihe nkiri na emereme ya dị mma.	positive
Farming nwereike ọbụghị ihe nkiri amara mmepụta, mana ọ dọrọ mmasị site n’etu Damson Idris si gosipụta agwa ya. N’agbanyeghi nke ahụ, ọ ka bụ akụkọ ekwesịrị ịkọ.	positive
Ọ MAKA NNỌỌ!!!...Ihe niile gbasara ihe nkiri a amaka! Akụkọ ya, ndị agwa nọ na ya, ntuziaka enyere, nakwa ihe niile ha yi n’ahụ. Ihe nkiri a tọrọ m ụtọ. Eji m otu nkeji tachapụ popcorn m! Ihụnanya ịhụnanya ịhụnanya! Biko mepụtakwuo ihe nkiri ọhụrụ!!!	positive
Ihe nkiri metụtara obodo abụọ dị mma…. Naanị ihe m ahụghị n’anya na ya bụ na egosighi obodo Naijiria na Indịa na ya.... Ihe nkiri ịhụnanya mara mma.	positive
Ihe nkiri mara mma…Ahụrụ m ilere ihe nkiri a n’anya. O nwere nhazi akụkọ mara mma, ezi ntuziaka, Dakore na ndị agwa nọ na ya mere nke ọma. Egosipụtara omenala na nketa ndị. O tuzuruoke ịnata akara Oscar na katigori ihe emereme amaala. Ana m enye ya akara 10/10.	positive
Ihe nkiri mara mma. Wow wow wow. Nollywood agbagola.	positive
Ọ maka…Akụkọ mara mma eji nlezianya mee. Na nchịkọta, emere ihe nkiri a ọfụma.	positive
