Batman vs Superman	batman vs superman
I can't believe it has been 10 years since it came out. That's crazy.	Mujhe believe nahi hota ki isey aaye huye 10 saal ho gaye. That's crazy.
I know, it feels like cou ple years	mujhe pata hai, lagta hai couple years hi huye hain
I like Robert Downey too	Mujhe bhi Robert Downey acha lagta hai
Time flies. Haha. 	Time fly ho jata hai. haha
Would you watch it again?	Kya tum isey dobara dekhoge?
Definitely!	Definitely!
Did you see it on the big screen the first time?	Kya tumne pehli baar isko big screen par dekha tha?
I normally do agree with Rotten Tomatoes scores. A 94 for this movie is pretty good.	Main Rotten Tomatoes scores se normally agree karta hun. Is movie ke liye 94 kafi good tha.
I saw it on DVD but still was fun	Maine isey DVD par dekha par still ye mazedaar tha
Honestly... not sure! Ha!	Honestly... confirm nahi hai! Ha!
I don't totally trust critics, they give biased reviews	Main critics par poori tarah bharosa nahin karta, woh biased reviews dete hain
Wasn't there a sequel  to this movie?	Kya is movie ka sequel nahin tha?
I don't totally trust them either. I never let reviews stop me from watching a film.	Main poori tarah se un par bharosa nahin karta. Mainne kabhi bhi apney aap ko reviews key based per movie dekhney se nahin roka.
I think it is best to decide for yourself	Mujhe lagata hai ki apne se decide karna sabse achchha hai
I usually watch a movie if I like the actors	Main aksar woh movie dekta hoon jis main merey pasand ke actors hotey hai
I believe there was an Iron man 2 and 3!	Mera maanna ​​hai ki Iron man 2 aur 3 tha!
I forgot that Jeff bridges was in this cast!!	Main bhool gaya ki Jeff bridges is cast mein tha!!
Likewise!!	Isee tarah !!
I really did like the end of this movie. Especially when Tony Stark reveals his identity as Iron Man.	Mujhe vaastav mein is movie ka end pasand aaya.  Khaasakar jab Tony Stark  ne Iron Man ke roop mein apni pehchaan bataye.
I don't remember details but the entire movie was enjoyable	muje kuch yaad nahi hein lekin pura movie tho enjoy kar raha tha
As well as when Stark defeats Stane on top of his building.	tab shark tho stane ko defeat kar raha tha us uper vali building se
You'll have to watch it again and refresh your memory!!!	aap dusre baar is movie ko dekho aur yaadon ko refresh karo
I think I recall that	mein bhi kuch aaise hi sochtha tha
Yes, I do need to watch it again	haa.. mein jarur dekhunga
maybe during spring break	spring ka break mein dekh lunga
Perfect! You can follow up with the sequels. Haha	perfect ! aap sequels bhi followup karo.. ha ha
it's one of those movies you can just pick up and watch any time	yeh in movies mein yek hein, aap abhi hi pick up karo aur kabhi bhi watch kar sakthe hein
you don't really need to know the background	aap ko tho yeh background ko patha hi nahi
Definitely! Even for the sequels. Still enjoyable. Well, it's been nice chatting! Enjoy the rest of your day.	Definitely! mein sequels bhi dekh lunga.. bahut maja aayaga.. tho apse chat karne se ache laga... rest of the day enjoy karo..
HI	namaste
HI	namaste
DID YOU SEE THIS FILM  WONDER WOMAN	kya aapne wonder woman film  dekha hai
YES 	haa
DO U LIKE THIS FILM?	kya yah film aap ko pasand hai?
S I LIKE THIS FILM	mujhe ye film pasand hai
IT IS BASED ON DC COMISC. THE DISTRIBUTED BY WAMER BROS. PICTURES	yah dc comic par aadharit hai. wamer bros pictures  ne vitarit kiya hai
YEAH IT IS A  FAMOUS DC COMICS. 	Haan wo ek famous DC Comics hai
GOOD	Accha
THIS IS  German Army (German Empire) 	Yeh hai German Army (German Empire)
yes i know. The term Deutsches Heer is also used for the modern German Army, the land component of the Bundeswehr.	Haan main jaanta hu. Ye term Deutsches Heer modern German Army k lie bhi use hoto hai. Bundeswehr ka land component
S APART FROM THIS Jenkins's role as director makes her the first female director of a live-action, theatrically released comic book superhero film.	Iske alawa Jenkin ka role as a director use pahli women director bana deta hai kisi bhi live-action theatrically released comic book superhero film ka
ARE YOU LIKE THAT MOVIE	Tumhe wo movie pasand aayi?
YES I LIKE THAT. AND ALSO I ENJOYED THIS MOVIE.	Haan mujhe pasand aayi aur maine is movie ko enjoy bhi kiya
OH HOW MANY TIMES YOU SEE THIS MOVIE	Oh kitne baar dekh chuke ho ye movie?
2 TIMES I WATCHED THIS MOVIE.	main ye movie 2 baar dekh chuka hu
ARE YOU LIKE THIS MOVIE DIRECTOR	Tumhe movie ki director pasand aayi kya?
ARE YOU FROM	Aap kaha se hai?
YEAH I LIKE THIS FILM DIRECTOR. 	Ha mujhe ye film director pasand hai
YEAH	Ha
WHAT YEAH	Kya ha
ARE YOU FROM	Aap kaha se hai
YES I AM HERE	Ha my yaha hoon
WHY DO LIKE THIS FILM?	Kyu ye film pasand hai
YES I LIKE THIS FILM	Ha mujhe ye movie pasand hai
BUT IAM NOT SEE THIS MOVIE	Lekin my ye movie nahi dekha
WHY DO DID NOT SEE THAT? DO YOU KNOW THIS MOVIE IS REALLY GOOD	Kyu dekh nahi sakte ho?tumhe pata hai  yah movie bahut achi hai
WHICH CHARECTER YOU LIKE THIS MOVIE	IS FILM ME KAUN SE BHUMIKA AAP KO ACHHA LAGA
I LIKE ALL THE CHARACTER IN THIS FILM	IS FILM MEMUJHE SAB BHUMIKA ACHHI LAGI
OH REALLY	SACH
THAT NICE	BEHTHAR
OK FINE	BAHUT ACHHA
Hey, have you seen The Avengers? It's a pretty good movie, you should check it out if you like Robert Downey Jr.	hey, kya tumne Avengers dekhi?The Avengers?ye pretty good movie he, tumhe check karna chahiye agar tum Robert Downey Jr, ko like karte ho.
YES, I KNOW AND ALSO I LIKE THE MOVIE	yes, me janata hu and me ye movie like karta hu
It's really great what Mark Ruffalo did as Bruce Banner/The Hulk, making him so calm yet ready to become a volcano don't you think?	yah vaastav mein bahut achchha hai ki maark raphphaalo ne broos bainar / da halk ke roop mein kya kiya, jisase vah itana shaant ho gaya ki aap jvaalaamukhee banane ke lie taiyaar nahin hain?
Yes, I think so	haan mujhe aisa lagata hai
I'm not always a big Joss Whedon fan, but he did a good job with the humor to spice up the team origin story. Were you surprised that it worked with so many characters?	main hamesha ek bada  Joss Whedon prashansak nahin hoon, lekin unhonne teem kee mool kahaanee ko masaala dene ke lie haasy ke saath achchha kaam kiya. kya aap aashcharyachakit the ki isane kaee paatron ke saath kaam kiya?
Strictly, this may be his main potential	sakhtee se, yah usakee mukhy kshamata ho sakatee hai
I would say Robert Downey Jr. is also playing to his potential here, with his sharp tongue and sophistication. Who was your favorite character?	main kahoonga ki Robert Downey Jr bhee yahaan apanee kshamata ke saath khel rahe hain, apanee tej jeebh aur parishkaar ke saath. aapaka pasandeeda charitr kaun tha?
Robert Downey is my favorite favorite CHARACTER	Robert Downey mera sabase pasandeeda pasandeeda charitr hai
Did you think he made a good leadership figure of the Avengers or did anybody else stand out to you more that way?	kya aapako lagata hai ki unhonne evenjars kee achchhee leedaraship kee ya kisee aur ne aapako is tarah se khada kiya?
No, he is right	nahin, vah sahee hai
That opening with the Tesseract escape was pretty cool, setting the tone for the movie.	Tesseract se bachakar nikalana kaaphee achchha tha, philm ke lie ton set karana.
MAY BE  That was the reason for the film's success	may bai yahee philm kee saphalata ka kaaran tha
Yeah, it was pretty surprising when Hawkey got enslaved so early in the movie though.	Haan jab Hawkeye movie me itni jaldi enslave hogaya to wo kaafi surprising tha
It refers to   image capture skills	Wo image capture skills k baare me hai
PLEASE CHAT ME FAST	Please mujhse chat karo fast
I'm not sure about that, but Nick Fury is always so cool. Too bad the bad guys always have to get one up on them.	Main uske baare me sure nahi hu , but Nick Fury hamesha bahut cool rahta hai. Afsos bad guys hamesha ek kadam aage rahte hai
It's their nature and it's impossible	Wo unka nature hai aur wo impossible hai
I guess so. I wonder what the deal is with the leader of those Chitauri? Very mysterious.	I guess so. Akhir Chitauri k leader ka kya mamla hai. Kaafi mysterious
It was a mystery to the last	Wo bilkul last tak mystery tha
For this film at least I guess. It was pretty sad when Coulson died. Did that scene get you?	At least is film k liye I guess. Jab Coulson mara kaafi sad tha. Kya us scene me feeling aayi?
There is a glimpse of seeing	Dekhne ki ek jhalak thi
Yeah, a t least it brought the Avengers together finally, no need for them to be fighting each other the whole time.	Haan , at least sabhi avengers ko saath le aayi, pure time aapas  me ladne ki koi jarurat nai thi
There is no need	koi zarurat nhi
Absolutely. Beat on Loki, like the Hulk did. Who kicked the most butt do you think?	absolutely loki ko maro jaise hulk ne mara tha uski butt par lath kisne mari
I think so	muje lgta hai aisa
I loved that Hulk saved Iron Man when he was falling, such a great moment.	muje acha lga ki hulk ne Iron Man ko bachaya girne se kitna acha samay tha wo
I like Hulk too	muje bhi Hulk pasand hai
Yeah he's the best. It's great that the whole team had to work together to save the day in the end, don't you think?	tumhe nhi lgta wo sabse acha hai, bhote badi baat hai ki puri team sath mai kaam krti hai din ko akhir mai bachane ke liye ?
I knew and I thought	muje pta hai mai soch rha tha
There were certainly some high stakes with that nuclear missile heading for New York.	kuch to bhote bada stake hai use nuclear missile mai jo new york ki teraf ja rhi thi
Hi there. What did you think of the movie?	namaste. aapane philm ke baare mein kya socha?
Hello?	namaste?
Hi, I think it's great, it would be good as a B roadway musical	namaste, mujhe lagata hai ki yah bahut achchha hai, yah bee rodave sangeet ke roop mein achchha hoga
Why do you think it would be great as a Broadway musical?	aapako kya lagata hai ki brodave sangeet ke roop mein yah bahut achchha hoga?
mainly the singing but also since the story is about a journey.	mukhy roop se gaayan lekin jab se kahaanee ek yaatra ke baare mein hai.
What do you think?	tum kya sochate ho?
The music in movie is very catchy and enjoyable, so I agree.	philm mein sangeet bahut hee aakarshak aur aanandadaayak hai, isalie main sahamat hoon.
Whose journey did you find most compelling?	aapane kisakee yaatra ko sabase adhik sammohak paaya?
Anna's journey	anna kee yaatra
Did you think the conclusion was satisfying for her character?	kya aapako lagata hai ki nishkarsh usake charitr ke lie santoshajanak tha?
She was trying to be herself and at the same time protect her sister so I think it was satisfying since that was accomplished.	vah khud hone kee koshish kar rahee thee aur saath hee saath apanee bahan kee raksha kar rahee thee, isalie mujhe lagata hai ki yah poora hone ke baad se santusht thee.
I agree	main sahamat hoon
Have you heard of the fairy tale that the movie was based on?	kya aapane paree katha ke baare mein suna hai jo philm par aadhaarit thee?
No, never.	nahin kabhee nahin.
Which character do you most admire?	aap kis charitr kee sabase adhik prashansa karate hain?
hello?	namaskar
Hello!	Hello!
What do you think of John Lee Hancock?	Tum John Lee Hancock k baare me kya sochte ho?
Hello.  	Hello
Hey! Have you ever seen The Social Network?	hey! kya The social network dekha?
I have not, but I know it was filmed in 2010.	nahi yar. lekin muje patha hein ki voh 2010 mien filmed huva
Have you seen it?	aap dekha?
I personally enjoyed it. It tells the story of the founding of Facebook. Do you like movies based on reality?	mein personally enjoy kiya.. facebook ka story hein yar.. reality based movie dekhna pasand hein?
I do. I also like Jesse Eisenberg and Justin Timberlake. The movie got good reviews, so maybe I will watch it.	muje bhi.. muje jesse eisenberg aur justin timberlake pasand hein. yeh movie ache reviews nikli, maybe mein watch jarur karunga
I really would recommend it myself. It was extremely good. Jesse Eisenberg plays Zuckerburg in such an intense way. It's a great film.	tho mein jarur recommend karunga.. yeh ache hein.. kya jesse eisenberg yaani zuckerburg ka role play intense se kiya.. voh tho badiya film hein
Did you read the book the movie was based on? The Accidental Billionaires?	kya aap us book ko read kiya jo yeh movie? the accidental billionaires?
I just learned it was based on the book today. I'm definitely going to have to read it. 	mein kuch learn kiya hein us book se aaj.. mein definitely padunga
Apparently, the biographical part of the movie isn't exactly true to life, since the movie was based on the book. Mark Zuckerberg had no part in contributing to the movie.	acha tho biographical part tho is movie mein jarur sach kaha hoga.. kyon ki is movie tho book ka based hein.. mark zuckerberg tho koi contribute nahi deya hoga
That is certainly interesting to know. I always wondered about it myself. Apparently, Saverin was the only consultant with any true to life information.	Ye janna jarur interesting hai. Main hamesha is bare me sochta tha. Apparently, Saverin akela consultant tha jiske paas koi true to life information thi.
Was it weird to see Armie Hammer play two people?	Kya Armie Hammer ko do log play karte hue dekhna weird tha?
It was! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer. He is an amazing actor. I also think Facesmash is a hilarious startup name.	Wo tha! To be honest unhone itna accha kaam kiya ke mujhe realize nahi hua dono Armie Hammer the. Wo ek amazing actor hai. Main ye bhi sochta hu k Facesmash ek hilarious startup name hai
It is! and what a crazy story... basically he got dumped and made millions off of trying to get even with her.	Ye hai! Kya crazy story hai ..basically wo dumped hogaya aur usse badle lete huye millions kama liye
How contentious of a person. Based off what you know of him would you have be friendly with him if you were in school with him at the time?	Kinda contentious banda hai. Jitna tum abhi jaante ho, agar uske saath school me hote to kya uske sath friendly hote?
Hmm... probably not. He doesn't seem to have good luck keeping friends. How ironic as he invented Facebook. Do you think you'd have been friends?	Hmm.. shayad nahi. Dost rakhne me to uska koi accha luck nahi hai. Kitna ironic hai k usne Facebook invent kiya. Tum kya sochte ho, kya uske dost hote?
Absolutely not 1	Bilkul nahi.
I thought it was ironic as well. I couldnt believe it. 	Maine bhi socha tha k ye ironic hai. Mujhe to believe nahi hua
The scene where Christy Lee says Facebook me is kinda funny, too. It certainly beats facesmash me.	Wo scene jaha Christy Lee bolti hai Facebook me funny type ka hai. Certainly facesmash me bolne se to accha hai.
Agreed. It makes sense, but I had no idea how much help Zuckerberg had along the way... Especially from one of the founders of Napster!	Agreed. Iska sense to banta hai but mujhe koi idea nahi tha ki Zuckerberg ko raaste me kitni help mili hai, especially Napster k ek founder se.
Justin Timberlake plays him so well too. I never knew about it either, but keep in mind it's based off the book. Who knows how much he actually was involved.	Justin Timberlake ne use bahut acha play kiya hai. Mujhe bhi is baare me kuch nahi pata tha, lekin ye dhyan me rakho k ye book pe based hai. Kise pata wo actually kitna involved tha.
That is true. I wonder if Mark Zuckerberg actually invited Sean Parker to live at Facebook headquarters!	Ye to sahi hai. Main is soch me hu ki kya Mark Zuckerberg ne Sean Parker ko actually Facebook ke headquarters me rehne k liye bulaya tha!
I love how he was doing it from a house. You know that much happened. If Sean Parker was there, who knows. I love how tech company start ups are out of houses. I wonder what the other continent was they were trying to expand to first.	Unka ye sab ghar se karna mujhe pasand aaya. Tumhe pata hai kitna kuch hua. Agar Sean Parker waha rahta to, kise pata. I love kaise ye tech company start up ghar se chal rahi hai. I wonder wo kaunse dusre continent me pahle expand karna chahte the
I think that it is pretty funny considering the success he gained... and "Thefacebook"? First Facesmash, then Harvard Connection then Thefacebook... yikes!	I think  uski success ko consider  karte hue Thefacebook kafi funny hai. Pahle Facesmash, phir Harvard Connection phir TheFacebook yikes!
Thefacebook is just rotten. It seems like Zuckerberg really shafted everyone else in the situation.	Thefacebook to bilkul bekaar hai. Aisa lagta hai Zuckerberg ne sahi me dusre logo ki leli
It's kind of creepy how he just waited for Albright to accept the friend request, too.	Uska Albright ka friend request accept karne tak wait karna kaafi creepy tha
It's really sort of sad to me. He hasn't really changed from the beginning of the story.	Mujhe to ye sad laga. Wo story ki beginning se jyada badla nahi.
That's how I feel. I'm not surprised he had to do a settlement.	Mujhe to aisa lagta hai. Main surprise nahi hu ke use settlement karna pada
He founded the biggest social network the world has ever seen, but he seems like a person who people hate.	Usne duniya ka sabse bada social network banaya but wo ek aisa aadmi lagta hai jise log hate karte hai
Extremely misanthropic. I would agree. It's overall kind of sad.	Bilkul misanthropic. Main to agree karta hu. Overall ye sad hai.
At least he didn't use his intelligence for true evil.	USNE  BURAEE KARNE KE LIYE DIMAAK KA UPAYOG NAHI KIYA
are you still there?	TUM ABHEE BHI VAHAAN HO
It's been 10 minutes	10 MINUTES HO GAYA
The movie is Toy Story.	movie hai Toy Story
From 1995, director is John Lasseler, 100% rotten tomatoes, 9/10 score.	1995 se, director hain John Lasseler, rotten tomatoes mein100%, 9/10 score hai
Hello, have you seen Toy Story? I did. I Agree with the critical that is has the purity and ecstatic freedom of imagination. What do you think?	hello, kya tumne Toy Story dekha hai? main manta hoon critic se ki usme purity aur ecstatic freedom of imagination hai.kya sochte ho tum?
I agree, it was a very popular movie.	haan agreed,woh bahut popular movie tha.
I love animations and Pixar is amazing. This one was really perfect. As it was mentioned a work of genius.	mujhe animations pasand hain aur Pixar amazing hai.yeh bahut perfect tha.jaise mention kiya tha ki ye ek genius ka work hai.
I also love Pixar	mujhe bhi pixar pasand hai
Maybe they'll make another Toy Story movie.	shayad wo aur ek toy story movie banayenge
The interaction between Woody and Buzz is really nice. Also hearing Tom Hanks as Wood is incredible.	woody aur buz ke bhitar ka sambhashan achha hai. aur tom hank ka aawaj woody ko suit hota hai achese
Oh yeah, classic voice	are ha , classic awaj hai
I like how their friendship grew.	mujhe acha lgta hai ki kaise unke friendship badhti hai
It was really interesting to see they change from rivals to friends	ye dekhne mai acha tha ki kaise wo dushman se dost bante hai
I like the supporting toys too.	mujhe sah toys bhi ache lage
For sure Woody and Buzz are amazing but also the other are perfect.	woody and buzz to ache hai hi but baki log bhi ache the
Isn't there a few Toy Story movies?	toy story ke kum movie =s nahi hai na
Yes for sure. On the begging the scene of Andy's party is really breathtaking don't you think?	ha hai. bhik magne ke scene mai andy ki party bahot achi thi
Yeah, when he first got Buzz.	ha aur jab uske pehle buzz mila
You still there?	kya tum vaha abhi tak ho?
For sure, and the other toys are very funny	haa sue,or dusare toy bhi bahut funny hai
Who is your favorite?	aap ka favorite kon hai?
Ohh difficult  to say. But I suppose Mr Potato Head.	ye bahut muskil se kahana hai ki mei Mr potato head ke support mei hui.
And what about your?	aapka apne bare meikya khayal hai?
Bopeep I think 	mene socha bopeep
And what about the scene on Pizza Planet. What a confusion, right?	pizza planet ke bare mei kya kahana hai. abhi kya confusion hai?
Yeah!	yeah!
but that's when the little aliens came in	jab little aliens aaye
For sure, and also all the run to be able to get there. Really nice.	haa kyu nahi, yaha sabhi run mil sakte hai. bahut achcha
And what about Andy's neighbor Sid. What a terrifying children for the toys, right?	Andys ke neighbor Sid ke baase  mei kya khayal hai. toy ke liye  terrifying children right hsi kya?
Andy's RC car is really funny don't you think?	Andy's RC car bahut funny hai aap ka kya khayal hai?
I don't remember either.	mujhe Yaad nahi hai.
Woody flying back to Andy's car is really a nice one.	Woody Andys ki car mei vapash aata hai jo ek achchi baat hai
Have you enjoyed the end of the history?	kya aap ne history ke end ko enjoy kiya?
What do you mean?	tumhara kya matlab hai?
How the things come to the end, meaning a happy end right?	things kab end hogi  means happy or right ?
Oh definitely!	ha definitely!
hello	hello
what is the name of the movie?	movie ka nam kya tha?
hello	hello
Did you watch 'The Post'?	kya tumne 'The Post' dekhi hai?
No, i didnt	nahi mene nahi kia
what genre is it?	konsa genre hai ye?
it is 'Historical, Political'	ye 'Historical, Political' hai
directed by Steven Spielberg	Steven Spielberg ne isey direct kiya
oh. Does it have any actors that I might know of?	oh. Kya isme koi actor hai jiska mujhe pata ho?
Maryl Stree 	Maryl Stree
Streep	Streep
Tom Hanks	Tom Hanks
is it a new movie?	kya ye nayi movie hai?
yes, 2017	haan, 2017
oh, I guess im a bit behind the times. has it been well received?	oh, mujhe lagta hai main thoda samay mein piche hun. kya ye well received hai?
I think it's worth watching	main sochta hun ye worth watching hai
do you want to know something about plot?	kya tum plot ke bare mei janana chahte ho?
what type of "post" is it named after? whats the movie about?	baad mei post ka kya naam tha? movie ke bare mei kya kahna hai?
yes please	haa please
The Post depicts the story of attempts by journalists at The Washington Post to publish the Pentagon Paers	Is post mei  pentagon paerss ko prakashit karne ke liye journalists ki attempts ki story hai
Papers	papers
oh. is that related to the vietnam war?	ye kya vietnam war se related hai?
yes	haa
is the movie about a government cover up?	ye movie government cover up ke bare mai hai?
the government always has something to hide ;)	goverment hamesh kuch chupane ki koshish karti hai ;)
isnt that the truth!	ye kya sach hai!
it sounds like a movie id enjoy	Mujhe lagta he ki me ye movie enjoy karunga
I think that this film is worth watching	Mujhe lagta he ye movie dekhne layak he
is it a long show?	Kya yaha lamba show he?
do you know the length?	Kya tumhe length pata he?
I dont know the length	Mujhe length nai pata.
but probably about 1.30h as usual...	Lekin probably 1.30h as usual..
do you know if it has won any awards?	Kya tumhe pata he agar koi award jita he?
I don't know	Mujhe nahi pata
well thanks for telling me about the post. :)	Thanks mujhe post ke bare me batane ke liye.
Hello! Do you like superhero movies?	Namaste! aap ko superhero movies aaccha lagega kya?
yes. batman begins! I think this a great batman film. have you seen it?	ha. batman start huwa! mene socha hi ki ee batman film tho great hi. aap dekha hi kya?
Yes, I have. Christian Bale is my favorite Batman so far.	ha. mere pas hi. Christian Bale tho mera favorite Batman hi abhi tak.
Do you usually check the ratings of movies before you see them?	aap movies ka ratings dekega kya , dekhne ke pehle ?
I usually do. but the rating dose not determine whether i will watch the movie or not	mene dekungi. lekin rating se kuch farak nahi padega , jho mene dekungi ya nahi.
The film has several great big name actors, which is another reason I like this one and would watch it based on the actors alone	ee film tho bahut great bada actors tha, ee tho dusara reason hi mere kho aacha laga aur mene dekungi bina actors keliye.
I agree, there are quite a few great actors in Batman Begins. I like Liam Neeson too, even though he is one of the villains.	ha, bahut sara great actors hi Batman Begins me. mene like karungi Liam Neeson tho bi, vo tho eek villain be hi.
seeing the potential for great actors together on a big screen defiantly gets my interest. along with super heros and villans.  a good  rating does help me feel like I will not waste my time watching something awful	utna potential hi actors me dekhke big screen mere kho bahut interest aaya tha. milke dono super heros aur villans bhi hi. isko aacha rating help karega , mene time waste mat karungi dusara awful movie dekhke.
but the same time will not deter me from a film If i am just into the genre	lekin same time me mene nahi deter karungi ee film se if mene just genre dekhke.
I personally prefer good ratings. Even if a movie has many good actors, if it's rated poorly, I usually won't watch it in theaters.	Main personally acchi ratings prefer karta hun .Even agar kisi movie mein kayi acche actors hain lekin agar uski rating kharab hai to main usko usually theaters mein nahi dekhta.
I'm not sure if I agree with the Metacritic Score of 70/100, though.	Waise mein sure nahi hun ki mein Metacritic  ke 70/100 score se agree karunga.
The 84% on Rotten Tomatoes seems more accurate.	Rotten Tomatoes pe 84%  zyada accurate lagta hai.
I will generally have enough patience to wait for a film to be released on DVD/Video if the rating turn me off.	Generally mere paas enough patience hota hai to wait for a film to be released on DVD/Video agar mujhe rating pasand nahi aati.
What did you think of the bat scene in the movie?	Movie ke bat scene ke baare mein kya khyal hai ?
I felt that scene shows the story of this film well, and is thought out.	Main sochta hun ki ye scene shows the story of this film well, kaafi socha samjha hai.
I wonder if there was a better place for the bats besides a dry well, though.	Waise I wonder ki bats ke liye dry well se behtar koi place ho sakti thi kya
batman as a child was good step by the filmm aker to show how his life started out	batman as a child accha step tha by the filmmaker ye dikhane ke liye ki uski life kaise start hui
Because this movie is called Batman Begins, I agree that it was appropriate to show Bruce's beginnings.	Because movie ka naam Batman Begins hai so I agree ki Bruce ki shuruaati life dikhana appropriate hai.
I think it's ironic that the mugger's name is Joe Chill, but he isn't  chill if he murders people.	Mere khyal se ye ironic hi hai ki mugger's name is Joe Chill , lekin wo chill nahi hai if he murders people.
unlikely yes, I think they were going for a mysterious beginning to show how batman came to be.  but still want to leave some mystery as he still develops a phobia to   the bats	unlikely haan, mujhe lagta hai wo batman kaise bana k ek mysterious beginning dikhana chahte the, but phir bhi thodi mystery chhodna chahte the ke use bats ka phobia kaise hota hai.
very ironic. mr chill is more of a bone  chilling murderer. 	bahut ironic, mr chill to ek bone chilling murdered hai
He is also murdered too, so at least he gets what he deserves.	Uska bhi murder hojata hai, to kam se kam wo jo deserve karta hai use mil jata hai
he got whats coming to him. but  bruce dosent get to murder him so i think that leaves him wanting revenge 	Jo uske liye hona tha usko mil jata hai. But brucse uska murder nahi karta to main sochta hu wo uski badla leni ki chahat rah jaati hai.
I think it helps to establish that Bruce will not directly murder anyone. Even when he burns down the League of Shadows, he doesn't directly kill Ra's al Ghul.	Mujhe lagta hai iss ye establish hone me help hoti hai k Bruce kabhi kisi ka directly murder nahi karte. Even jab wo league of Shadows ko jala deta hai, Ra's al Ghul ko directly nahi maarta hai.
Injustice should be not be used as a reason to murder, in any case.	Injustice kabhi bhi murder ka reason nahi hona chaiye
I feel hes lucky become part of the league of shadows, and to purge his fear of bats. this key part I think is pretty lucky break for him. as he is doing jail time in a foreign country.	Mujhe lagta hai ke wo lucky tha k league of shadows ka part ban gaya aur apne bats k dar ko hata diya.
It is strange that his family could afford a butler but he goes to prison for stealing...	Ye kaafi strange hai k uski family butler afford kar sakti hai but wo jail chor karne k liye jata hai
I really like Gary Oldman as Gordon. He plays a good cop really well.	Mujhe Gary Oldman as Gordon accha laga. Wo ek good cop accha play karta hai
What did you think of the Scarecrow scenes?	Tum Scarecrow wale scenes k baare me kya sochte ho?
The scarecrow was particularly scary character. trying to poison the water supply	scarecrow kafi scary character tha, water supply ko poison karne ki try kar raha tha
and batman was poisoned with the fear-inducing drugs, I thought it was over for him.	aur batman fear-inducing drugs se poisoned tha, mujhe laga uska sab over hai
It appeared to be over for many characters in this movie at different points, yeah.	haan, puri movie mein kafi points par aisa laga ki kafi character ke liye it was over
I was surprised when the real Ra's al Ghul showed himself, too. The League of Shadows doesn't die easily.	main bhi surprised tha jab asli Ra's al Ghul ne khud ko dikhaya.  League of Shadows asaani se nahi marta
He seems to have otherworldy power after surviving his past experiences	lagta hai past experience survive karne ke baad usme otherworldy power they
Hey	aho
